ID,Predicted Value
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,1
